lon_c,lat_c,depth,strike,dip,area_km2,coupling_robusto
-72.60000000000001,-30.0,8.499174791666666,4.866789425,6.019503658333334,428.3123216983501,0.9999999999999855
-72.60000000000001,-29.8,8.283703425,6.005453133333333,5.756945675,429.1729023165932,0.9999999999999851
-72.60000000000001,-29.6,8.077137936363636,7.473203645454546,5.527365681818182,430.0282535984603,0.9999999999999861
-72.60000000000001,-29.4,7.938458125,9.2447510625,5.3918297,430.878365121766,0.9999999999999882
-72.60000000000001,-29.200000000000003,7.7919035,10.99545175,5.257535525,431.7232265281696,0.9999999999999908
-72.60000000000001,-29.0,7.5433755,12.072399,5.00597,432.5628275233015,0.9999999999999937
-72.4,-30.0,10.5805978125,5.2041695875,8.0901808625,428.3123216983501,0.9999999999999772
-72.4,-29.8,10.27342140625,6.26218808125,7.73717275,429.1729023165932,0.9999999999999787
-72.4,-29.6,9.91775115625,7.65114101875,7.36732295625,430.0282535984603,0.9999999999999809
-72.4,-29.4,9.50722484375,9.27361228125,6.97039040625,430.878365121766,0.9999999999999846
-72.4,-29.200000000000003,9.04410046875,11.0187259375,6.53113048125,431.7232265281696,0.9999999999999896
-72.4,-29.0,8.53956263125,12.74778575,6.04162595,432.5628275233015,0.9999999999999937
-72.4,-28.8,8.293791236363637,14.248479818181815,5.8036358727272725,433.39715787688846,0.9999999999999991
-72.4,-28.6,8.114195500000001,15.25464725,5.620890025,434.2262074228785,0.9999999999999948
-72.2,-30.0,13.7902545625,5.603557325,11.02488165625,428.3123216983501,0.999999999999983
-72.2,-29.8,13.3426705625,6.5642869625,10.556967875,429.1729023165932,0.9999999999999841
-72.2,-29.6,12.8379960625,7.8204482875,10.06962465625,430.0282535984603,0.9999999999999846
-72.2,-29.4,12.26538071875,9.36677059375,9.54731984375,430.878365121766,0.9999999999999832
-72.2,-29.200000000000003,11.6216075625,11.12585571875,8.97081369375,431.7232265281696,0.9999999999999861
-72.2,-29.0,10.9166113125,12.9192738125,8.33185753125,432.5628275233015,0.9999999999999931
-72.2,-28.8,10.1760494375,14.481299,7.64103410625,433.39715787688846,0.9999999999999994
-72.2,-28.6,9.43748078125,15.5340336875,6.926595025,434.2262074228785,0.999999999999995
-72.2,-28.4,8.868134321428572,15.897002714285716,6.355407385714286,435.04996605956455,0.9999999999999898
-72.2,-28.200000000000003,8.643452642857143,15.570601,6.114026871428572,435.8684237497077,0.999999999999998
-72.2,-28.0,8.430859,14.994507,5.887345,436.681570520659,0.9999999999999984
-72.0,-30.0,18.81084055,5.97839674,15.1519912,428.3123216983501,0.9999999999999939
-72.0,-29.8,18.15268905,6.860648815,14.56370415,429.1729023165932,0.9999999999999942
-72.0,-29.6,17.4222788,8.05335162,13.933925825,430.0282535984603,0.9999999999999933
-72.0,-29.4,16.599692225000002,9.6064776,13.236702675,430.878365121766,0.9999999999999915
-72.0,-29.200000000000003,15.6747837,11.430890975,12.4530057,431.7232265281696,0.9999999999999871
-72.0,-29.0,14.659873225000002,13.28603225,11.5859703,432.5628275233015,0.9999999999999925
-72.0,-28.8,13.593638725,14.8421203,10.662115475,433.39715787688846,0.9999999999999997
-72.0,-28.6,12.5325204,15.798699275,9.7233283,434.2262074228785,0.9999999999999953
-72.0,-28.4,11.533803525,16.001148925000003,8.81623127,435.04996605956455,0.9999999999999937
-72.0,-28.200000000000003,10.6397848,15.4881246,7.98135961,435.8684237497077,0.9999999999999989
-72.0,-28.0,9.870470525,14.4530262,7.24467772,436.681570520659,0.9999999999999984
